"sex","age","pyld_rate","pyld_rate_allcause"
2,39,0.131164692722726,0.15580340112573
1,40,0.101038618524049,0.120762401945222
2,40,0.133041407992901,0.157605040371141
1,41,0.102434126123141,0.122445380640545
2,41,0.13488871739056,0.159428375604692
1,42,0.103907869899705,0.124258862630215
2,42,0.136603746400994,0.161192734745954
1,43,0.105456076773322,0.126213945243771
2,43,0.13813368095941,0.162869556833345
1,44,0.10706046925822,0.12829648382732
2,44,0.139540527026797,0.164510766397979
1,45,0.108733085022938,0.130502420729829
2,45,0.140892292564038,0.166154944027352
1,46,0.110486695609831,0.132827421352989
2,46,0.142259906790583,0.167842258775502
1,47,0.112334883452568,0.135266805647905
2,47,0.143717122922233,0.169614524398695
1,48,0.11430416286113,0.137855474066378
2,48,0.14527179403627,0.171481131044368
1,49,0.116392526470314,0.140606947988009
2,49,0.146876621266857,0.173416933299753
1,50,0.118569836293145,0.143481885430244
2,50,0.148524642367709,0.175412959452176
1,51,0.120803595224571,0.146437545332375
2,51,0.150208567809497,0.177459809102124
1,52,0.123058736098541,0.149427462736755
2,52,0.151920759670089,0.179547620450354
1,53,0.125314199072216,0.152423969254155
2,53,0.153619144316788,0.181631359733684
1,54,0.127593847070555,0.155459026832638
2,54,0.155308576870827,0.183717891218729
1,55,0.129929678231152,0.158575133707879
2,55,0.157053659673254,0.185877218910382
1,56,0.132356032505443,0.161818183595765
2,56,0.158921935455458,0.188182674290946
1,57,0.134909778407962,0.165237753599065
2,57,0.160984267682451,0.190711341676666
1,58,0.137586423810448,0.168839482427949
2,58,0.163252768704708,0.193456990778277
1,59,0.140368122498001,0.172601179185089
2,59,0.165689418983565,0.196378339219352
1,60,0.143274837362414,0.176534240299129
2,60,0.168292790453923,0.199504445385817
1,61,0.146328072338832,0.180650857687536
2,61,0.171061462782486,0.202866343798279
1,62,0.149551041700389,0.184964087864088
2,62,0.173993971580965,0.206497333975819
1,63,0.152988679942054,0.189508380743659
2,63,0.177140393469922,0.210452803428832
1,64,0.156640972115694,0.194292524013009
2,64,0.180516171659563,0.214732809839609
1,65,0.160461799894734,0.199289521402777
2,65,0.184064773007157,0.219286718004898
1,66,0.164400133607532,0.204469052271797
2,66,0.1877250590959,0.224059457926659
1,67,0.168399535762419,0.20979710478916
2,67,0.191430782471347,0.228990819060052
1,68,0.172514885890162,0.215340331949003
2,68,0.195245000893667,0.234145311805129
1,69,0.176792249675755,0.221137580041908
